0,1461843112953,1461843193977
1,1461843193984,1461843194753
2,1461843194760,1461843195527
3,1461843195545,1461843196298
4,1461843196350,1461843197067
5,1461843197108,1461843197818
6,1461843197884,1461843198567
7,1461843198638,1461843199313
8,1461843199393,1461843200060
9,1461843200137,1461843200815
10,1461843200902,1461843201565
11,1461843201648,1461843202319
12,1461843202412,1461843203073
13,1461843203172,1461843203818
14,1461843203920,1461843204566
15,1461843204656,1461843205323
16,1461843205442,1461843206070
17,1461843206176,1461843206827
18,1461843206950,1461843207586
19,1461843207684,1461843208334
20,1461843208467,1461843209080
21,1461843209197,1461843209831
22,1461843209972,1461843210577
23,1461843210710,1461843211327
24,1461843211473,1461843212077
25,1461843212223,1461843212824
26,1461843212957,1461843213569
27,1461843213705,1461843214314
28,1461843214472,1461843215059
29,1461843215224,1461843215804
30,1461843215955,1461843216549
31,1461843216700,1461843217295
32,1461843217457,1461843218040
33,1461843218196,1461843218789
34,1461843218952,1461843219540
35,1461843219687,1461843220290
36,1461843220463,1461843221041
37,1461843221219,1461843221786
38,1461843221948,1461843222531
39,1461843222689,1461843223277
40,1461843223436,1461843224029
41,1461843224199,1461843224774
42,1461843224964,1461843225519
43,1461843225703,1461843226264
44,1461843226452,1461843227009
45,1461843227208,1461843227754
46,1461843227941,1461843228499
47,1461843228678,1461843229244
48,1461843229425,1461843229988
49,1461843230179,1461843230733
50,1461843230975,1461843231478
51,1461843231704,1461843232223
52,1461843232440,1461843232968
53,1461843233181,1461843233713
54,1461843233930,1461843234458
55,1461843234689,1461843235203
56,1461843235450,1461843235949
57,1461843236145,1461843236694
58,1461843236956,1461843237439
59,1461843237656,1461843238184
60,1461843238440,1461843238933
61,1461843239157,1461843239679
62,1461843239955,1461843240424
63,1461843240684,1461843241169
64,1461843241492,1461843241915
65,1461843242106,1461843242659
66,1461843242930,1461843243406
67,1461843243638,1461843244151
68,1461843244429,1461843244896
69,1461843245183,1461843245641
70,1461843245903,1461843246386
71,1461843246664,1461843247130
72,1461843247389,1461843247875
73,1461843248121,1461843248620
74,1461843248941,1461843249367
75,1461843249597,1461843250115
76,1461843250385,1461843250860
77,1461843251133,1461843251607
78,1461843251886,1461843252352
79,1461843252688,1461843253097
80,1461843253404,1461843253842
81,1461843254123,1461843254586
82,1461843254938,1461843255331
83,1461843255577,1461843256078
84,1461843256446,1461843256825
85,1461843257092,1461843257574
86,1461843257978,1461843258319
87,1461843258629,1461843259064
88,1461843259377,1461843259809
89,1461843260083,1461843260553
90,1461843260889,1461843261298
91,1461843261557,1461843262043
92,1461843262369,1461843262787
93,1461843263235,1461843263532
94,1461843263862,1461843264277
95,1461843264589,1461843265022
96,1461843265272,1461843265766
97,1461843266104,1461843266511
98,1461843266845,1461843267256
99,1461843267641,1461843268001
100,1461843268337,1461843268746
101,1461843269136,1461843269490
102,1461843269838,1461843270235
103,1461843270594,1461843270980
104,1461843271303,1461843271725
105,1461843272015,1461843272470
106,1461843272733,1461843273215
107,1461843273608,1461843273959
108,1461843274279,1461843274705
109,1461843275007,1461843275451
110,1461843275736,1461843276196
111,1461843276571,1461843276941
112,1461843277307,1461843277685
113,1461843278047,1461843278430
114,1461843278736,1461843279183
115,1461843279497,1461843279936
116,1461843280265,1461843280690
117,1461843280980,1461843281441
118,1461843281746,1461843282185
119,1461843282509,1461843282930
120,1461843283218,1461843283675
121,1461843283986,1461843284419
122,1461843284701,1461843285164
123,1461843285471,1461843285908
124,1461843286302,1461843286653
125,1461843287025,1461843287397
126,1461843287803,1461843288142
127,1461843288477,1461843288887
128,1461843289209,1461843289631
129,1461843290000,1461843290376
130,1461843290794,1461843291121
131,1461843291478,1461843291865
132,1461843292162,1461843292610
133,1461843292905,1461843293354
134,1461843293708,1461843294099
135,1461843294457,1461843294844
136,1461843295267,1461843295588
137,1461843296081,1461843296333
